"complex_id","complex_name","complex_creator","complex_state","complex_ready_date","low_price","high_price","complex_location","complex_location_dist_to_center","complex_metro","complex_location_coords","complex_location_coords_lat","complex_location_coords_lon","geocoding_accurate","complex_closest_metro","complex_dist_to_metro","complex_apartment_count"
"8114","ЖК «Весна-3»","ЦДС","Строится",NA,53000,80000,"Ленинградская область, Всеволожский район, Заневское городское поселение, д. Кудрово, ул. Областная",11372.1762626712,"Улица Дыбенко, 30 мин. пешком","59.918706:30.511009",59.918706,30.511009,TRUE,"Улица Дыбенко",1992.10676715425,773
"8402","ЖК «GreenЛандия 2»","SetlCity","Строится",NA,72000,89000,"Ленинградская область, Всеволожский район, пос. Мурино",13267.1189667045,"Девяткино, 20 мин. пешком","60.0479667:30.4487409",60.0479667,30.4487409,TRUE,"Девяткино",401.280440660819,76
"6961","ЖК «Самоцветы»","ЛенСпецСМУ","Строится",NA,83000,200000,"Санкт-Петербург, район Василеостровский, наб. Реки Смоленки, 3к1",2940.40833516801,"Василеостровская, 10 мин. на машине","59.94856:30.263473",59.94856,30.263473,TRUE,"Василеостровская",1059.55822148787,1828
"7405","ЖК «Муринский Посад»","ЦДС","Строится",NA,50000,96000,"Ленинградская область, Всеволожский район, пос. Мурино, ш. В Лаврики, 64к1",15704.2180264633,"Девяткино, 5 мин. на машине","60.0752848:30.4416462",60.0752848,30.4416462,TRUE,"Девяткино",2795.51119512484,685
"6871","ЖК «Дом на Кирочной»","SetlCity","Строится",NA,188000,329000,"Санкт-Петербург, район Центральный, Кирочная ул., 57",3882.55121766617,"Чернышевская, 20 мин. пешком","59.9408024:30.3839478",59.9408024,30.3839478,TRUE,"Чернышевская",1402.543665107,17
"7932","ЖК «Итальянский квартал»","Навис","Строится",NA,46000,65000,"Ленинградская область, Всеволожский район, Романовское с/пос, пос. Романовка, ш. Дорога Жизни",24758.177912097,"Ладожская, 30 мин. на машине","60.049667:30.712753",60.049667,30.712753,TRUE,"Девяткино",14989.3159754863,409
"7442","ЖК «Невская Звезда»","ИПС","Строится"," II квартал 2016 года — II квартал 2020 года (3 очереди) ",69000,125000,"Санкт-Петербург, район Невский, ул. Бабушкина, 82",12519.5224835568,"Пролетарская, 10 мин. пешком","59.864009:30.463321",59.864009,30.463321,TRUE,"Пролетарская",410.594349650561,87
"7863","ЖК «Петр Великий и Екатерина Великая»","РосСтройИнвест","Строится",NA,57000,83000,"Санкт-Петербург, район Красносельский, Заводская ул., 15",16719.9428237146,"Рыбацкое, 15 мин. на машине","59.8181:30.169099",59.8181,30.169099,TRUE,"Проспект Ветеранов",5335.2722306773,256
"7447","ЖК «Охтинская Дуга»","Запстрой","Строится",NA,48000,86000,"Ленинградская область, Всеволожский район, пос. Мурино, просп. Авиаторов Балтики",12930.5950131357,"Девяткино, 10 мин. пешком","60.0483798:30.4361724",60.0483798,30.4361724,TRUE,"Девяткино",431.439038133338,77
"6849","ЖК «Time Дом у Московского»","Северный Город","Строится",NA,72000,180000,"Санкт-Петербург, район Московский, Заозерная ул., 3А",4645.34374225719,"Фрунзенская, 10 мин. пешком","59.907291:30.322362",59.907291,30.322362,TRUE,"Фрунзенская",296.667750568376,247
"7712","ЖК «Ново-Антропшино»","Запстрой","Строится",NA,49000,57000,"Ленинградская область, Гатчинский район, Коммунар, Ново-Антропшино ЖК",36204.0554162997,"Купчино, 30 мин. на машине","59.6276309:30.4166481",59.6276309,30.4166481,TRUE,"Купчино",22620.2459991153,19
"6924","ЖК «Берёзовая роща»","Полис Групп","Строится",NA,63000,130000,"Ленинградская область, Всеволожский район, Заневское городское поселение, д. Кудрово, просп. Европейский, 3",12339.5493180315,"Улица Дыбенко, 10 мин. на машине","59.897451:30.512123",59.897451,30.512123,TRUE,"Улица Дыбенко",1953.90089597818,123
"7062","ЖК «Дом у ратуши»","SetlCity","Строится",NA,94000,263000,"Санкт-Петербург, район Центральный, Дегтярный пер., 26",3832.89977406156,"Чернышевская, 2 мин. пешком","59.940575:30.38292",59.940575,30.38292,TRUE,"Чернышевская",1355.92061115722,113
"1743","ЖК «Северная Долина»","ГлавстройСпб","Строится"," IV квартал 2014 года ",59000,151000,"Санкт-Петербург, пос. Парголово, район Выборгский, ул. Валерия Гаврилина, 3А",13903.7491424309,"Парнас, 5 мин. пешком","60.073503:30.3336247",60.073503,30.3336247,TRUE,"Парнас",725.121537587476,2307
"5715","ЖК «Квартет»","ЛСР. Недвижимость","Строится",NA,83000,128000,"Санкт-Петербург, район Московский, Витебский просп., 101к3",13592.7058338682,"Купчино, 5 мин. пешком","59.830139:30.372732",59.830139,30.372732,TRUE,"Купчино",170.870841535022,78
"7064","ЖК «Три ветра»","ЛСР. Недвижимость","Строится",NA,105000,285000,"Санкт-Петербург, район Приморский, ул. Савушкина",5695.75677221961,"Старая Деревня, 30 мин. пешком","59.984604:30.2429764",59.984604,30.2429764,TRUE,"Старая Деревня",865.695614772048,691
"6979","ЖК «Морошкино»","Normann","Строится",NA,48000,58000,"Ленинградская область, Всеволожский район, Бугровское с/пос, д. Порошкино, ул. Славянская",18166.0645723214,"Парнас, 15 мин. на машине","60.111796:30.335999",60.111796,30.335999,TRUE,"Парнас",4989.22201872936,516
